Species,CSUR number,Phylum,Category,C,D,E,F,G,H,I,J,K,N° of Id
Abiotrophia defectiva,CSURP616,Firmicutes,H(GUT),3,1,1,,,,,,,6
Acetobacter pasteurianus,CSURP2066,Proteobacteria,NH,,,,,,X,,,,1
Acidaminococcus fermentans,ND,Firmicutes,H(GUT),,,,,1,,,,,2
Acidaminococcus intestini,CSURP1132,Firmicutes,H(GUT),X,,,3,,,,,,4
Acidaminococcus massiliensis ,CSURP2828,Firmicutes,NS,,,,,,,,,X,1
Acidaminococcus timonensis,CSURP2764,Firmicutes,NS,,,,,,,,,X,1
Acinetobacter baumannii,ND,Proteobacteria,H(GUT),,X,1,,1,,,,,3
Acinetobacter junii,CSURP1133,Proteobacteria,NH,,X,,,,,,,,1
Acinetobacter lwoffii,CSURP786,Proteobacteria,H(GUT),4,1,,1,,3,,,,1
Acinetobacter pittii,CSURP610,Proteobacteria,H,1,2,,,,,,,,4
Acinetobacter radioresistens,CSURP1006,Proteobacteria,H,2,7,1,,,,,,,11
Acinetobacter septicus,CSURP1710,Proteobacteria,H,,X,,,,,,,,1
Acinetobacter towneri,ND,Proteobacteria,NH,,,1,,,,,,,2
Acinetobacter ursingii,CSURP772,Proteobacteria,H,,X,,,,,,,,1
Acinetobacter variabilis,CSURP2092,Proteobacteria,H,,X,,,,,,,,1
Actinobaculum massiliense,CSURP1982,Actinobacteria,H,,,X,,,,,,,1
Actinomyces bouchesdurhonensis,CSURP2825,Actinobacteria,NS,,,,,,,,,X,1
Actinomyces dentalis,ND,Actinobacteria,H,X,,,,,,,,,1
Actinomyces europaeus,CSURP605,Actinobacteria,H,,X,,,,,,,,1
Actinomyces graevenitzii,Inprogress,Actinobacteria,H,,,,X,,,,,,1
Actinomyces ihumii,CSURP2006,Firmicutes,NS,,,,,,X,,,,1
Actinomyces johnsonii,CSURP2016,Actinobacteria,H,,X,,,,,,,,1
Actinomyces naeslundii,CSURP678,Actinobacteria,H(GUT),2,1,,,,,,,,4
Actinomyces neuii,CSURP907,Actinobacteria,H,X,,1,,,,,,,2
Actinomyces odontolyticus,CSURP2379,Actinobacteria,H(GUT),2,9,,,,2,,,,14
Actinomyces oris,CSURP739,Actinobacteria,H(GUT),4,7,,1,,,,,,13
Actinomyces phoceensis,CSURP1984,Actinobacteria,NS,,X,,,,,,,,1
Actinomyces polynesiensis,CSURP658,Actinobacteria,NS,X,,1,,,1,,,,3
Actinomyces provencensis,CSURP2166,Actinobacteria,NS,,,,,,X,,,,1
Actinomyces radingae,CSURP983,Actinobacteria,H(GUT),2,6,1,,,2,,,,12
Actinomyces turicensis,CSURP1128,Actinobacteria,H(GUT),,X,,1,,,,,1,3
Actinomyces urogenitalis,CSURP1180,Actinobacteria,H,X,6,1,,,2,,,,1
Adlercreutzia equolifaciens,ND,Actinobacteria,H(GUT),,1,,,,,,,,2
Aerococcus viridans,CSURP751,Firmicutes,H(GUT),4,1,,,,,,,,6
Aeromicrobium tamlense,CSURP1208,Actinobacteria,NH,,X,,,,,,,,1
Aeromonas bestiarum,CSURP1135,Proteobacteria,H(GUT),,1,,,X,,,,,2
Aeromonas caviae,CSURP636,Proteobacteria,H(GUT),,X,,,,,,,,1
Aeromonas enteropelogenes,ND,Proteobacteria,H(GUT),,X,,,,,,,,1
Aeromonas eucrenophila,ND,Proteobacteria,H(GUT),,1,,,X,,,,,2
Aeromonas hydrophila,CSURP845,Proteobacteria,H(GUT),,X,,,,1,,,,2
Aeromonas jandaei,ND,Proteobacteria,H(GUT),,X,,,,,,,,1
Aeromonas popoffii,ND,Proteobacteria,H,,1,,,X,,,,,2
Aeromonas salmonicida,ND,Proteobacteria,H(GUT),,1,,,X,,,,,2
Aeromonas schubertii,ND,Proteobacteria,H(GUT),,X,,,,,,,,1
Aeromonas veronii,ND,Proteobacteria,H(GUT),,,,,,X,,,,1
Africanella massiliensis,CSURP2538,Firmicutes,NS,,X,,,,,,,,1
Aggregatibacter aphrophilus,CSURP1062,Proteobacteria,H(GUT),X,,,,,,,,,1
Aggregatibacter segnis,Inprogress,Proteobacteria,H(GUT),,,,X,,,,,,1
Agrococcus casei,CSURP2239,Actinobacteria,NH,,X,,,,,,,,1
Agrococcus jenensis,ND,Actinobacteria,NH,1,,,,,,,,,2
Akkermansia muciniphila,CSURP2261,Verrucomicrobia,H(GUT),,,,X,,,,,,1
Alcaligenes faecalis,CSURP580,Proteobacteria,H(GUT),,4,,,,,,,,5
Alistipes finegoldii,CSURP555,Bacteroidetes,H(GUT),1,13,,2,,,,,,17
Alistipes ihumii,CSURP204,Bacteroidetes,NS,,,,,,1,,,,2
Alistipes indistinctus,CSURP723,Bacteroidetes,H(GUT),3,7,1,3,,2,,,1,18
Alistipes jeddahensis,CSURP1209,Bacteroidetes,NS,,X,,3,,,,,1,5
Alistipes massiliensis,CSURP2263,Bacteroidetes,H(GUT),,,,X,,,,,,1
Alistipes obesihominis,CSURP186,Bacteroidetes,NS,,2,,6,,,,,,9
Alistipes onderdonkii,CSURP591,Bacteroidetes,H(GUT),2,17,1,8,,,,,,29
Alistipes phoceensis,CSURP1461,Bacteroidetes,NS,,,,X,,,,,,1
Alistipes provencensis,CSURP2431,Bacteroidetes,NS,,,,X,,,,,,1
Alistipes putredinis,CSURP1137,Bacteroidetes,H(GUT),,X,,1,,,,,,2
Alistipes senegalensis,CSURP150,Bacteroidetes,NS,,2,,,,,,,,3
Alistipes shahii,CSURP808,Bacteroidetes,H(GUT),1,7,,3,,,,,,12
Alistipes timonensis,CSURP148,Bacteroidetes,NS,,2,,,,,,,,3
Alkalibacillus halophilus,Inprogress,Firmicutes,NH,,,X,,,,,,,1
Allisonella histaminiformans,CSURP2249,Firmicutes,NH,,,,X,,,,,,1
Alloscardovia omnicolens,Inprogress,Actinobacteria,H,,,,X,,,,,,1
Anaerococcus hydrogenalis,CSURP1181,Firmicutes,H(GUT),1,1,,,,,,,,3
Anaerococcus jeddahensis,CSURP1914,Firmicutes,NS,,X,,,,,,,,1
Anaerococcus murdochii,CSURP1063,Firmicutes,H,,X,,,,,,,,1
Anaerococcus octavius,CSURP120,Firmicutes,H,,,,,,,,,X,1
