Phylum,Class-Order,Family,Species,Reference,Genome sequence
Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces canis,"(McLaughlin et al., 2010)",none
Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces cardiffensis,"(Lagier et al., 2012)",none
Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces georgiae,"(Lagier et al., 2012)",NZ_AKFS01000302.1
Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces graevenitzii,"(Eckburg et al., 2005)",NZ_JH470338.1
Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces grossensis,"(Lagier et al., 2012)",NZ_CAGY01000001.1
Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces naeslundii,"(Finegold et al., 1977)",NZ_ALJK01000149.1
Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces odontolyticus,"(Lagier et al., 2012)",NZ_DS264586.1
Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces oris,"(Lagier et al., 2012)",NZ_BABV01000691.1
Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces radingae,"(Lagier et al., 2012)",none
Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces turicensis,"(Walker et al., 2011)",NZ_JH815208.1
Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces viscosus,"(Bik et al., 2006)",none
Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces urogenitalis,"(Favier et al., 2002)",NZ_DS999576.1
Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium haemolyticum,"(Lagier et al., 2012)",NC_014218.1
Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium pyogenes,"(Taylor et al., 1985)",none
Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus curtisii,"(Lagier et al., 2012)",NC_014246.1
Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum cambriense,"(Lagier et al., 2012)",NZ_ATUF01000002.1
Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella bernardiae,"(Yassin et al., 2011; Lagier et al., 2012)",none
Actinobacteria,Actinomycetales,Bogoriellaceae,Georgenia muralis,"(Lagier et al., 2012)",none
Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium casei,"(Lagier et al., 2012)",NZ_AMSP01000001.1
Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium epidermidis,"(Lagier et al., 2012)",none
Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium halotolerans,"(Lagier et al., 2012)",none
Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium iodinum,"(Lagier et al., 2012)",none
Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium linens,"(Lagier et al., 2012)",NZ_AAGP01000003.1
Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium massiliense,"(Pfleiderer et al., 2013)",NZ_CAJD01000009.1
Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium pityocampae,"(Lagier et al., 2012)",none
Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium ravenspurgense,"(Lagier et al., 2012)",none
Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium senegalense,"(Lagier et al., 2012)",NZ_CAHK01000065.1
Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas composti,"(Lagier et al., 2012)",none
Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas denverensis,"(Lagier et al., 2012)",none
Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas massiliensis,"(Lagier et al., 2012)",NZ_HE978592.1
Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas parahominis,"(Lagier et al., 2012)",none
Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium ammoniagenes,"(Cooke & Keith, 1927)",NZ_GG771310.1
