"name","taxon","phylum","source"
"Holdemania filiformis DSM 12042","545696","Firmicutes","HMP_2018"
"Bifidobacterium dentium ATCC 27678","473819","Actinobacteria","HMP_2018"
"Clostridium celatum DSM 1785","545697","Firmicutes","HMP_2018"
"Eubacterium biforme DSM 3989","518637","Firmicutes","HMP_2018"
"Bacteroides sp. D22","585544","Bacteroidetes","HMP_2018"
"Lachnospiraceae bacterium 6_1_37FAA","658656","Firmicutes","HMP_2018"
"Clostridium perfringens WAL-14572","742739","Firmicutes","HMP_2018"
"Pediococcus acidilactici 7_4","563194","Firmicutes","HMP_2018"
"Coprobacillus sp. 3_3_56FAA","665941","Firmicutes","HMP_2018"
"Clostridium sp. 7_3_54FAA","665940","Firmicutes","HMP_2018"
"Enterococcus faecalis TX1302","749513","Firmicutes","HMP_2018"
"Collinsella intestinalis DSM 13280","521003","Actinobacteria","HMP_2018"
"Ruminococcus gnavus ATCC 29149","411470","Firmicutes","HMP_2018"
"Bifidobacterium sp. 12_1_47BFAA","216816","Actinobacteria","HMP_2018"
"Enterococcus faecalis TX2137","749491","Firmicutes","HMP_2018"
"Escherichia coli MS 124-1","679205","Proteobacteria","HMP_2018"
"Helicobacter pylori HP116Bi","1159065","Proteobacteria","HMP_2018"
"Lactobacillus fermentum ATCC 14931","525325","Firmicutes","HMP_2018"
"Enterobacteriaceae bacterium 9_2_54FAA","469613","Proteobacteria","HMP_2018"
"Helicobacter pylori HP250AFiV","1159068","Proteobacteria","HMP_2018"
"Escherichia coli MS 200-1","749550","Proteobacteria","HMP_2018"
"Escherichia coli MS 69-1","749531","Proteobacteria","HMP_2018"
"Escherichia coli MS 153-1","749541","Proteobacteria","HMP_2018"
"Bacteroides sp. 9_1_42FAA","457395","Bacteroidetes","HMP_2018"
"Desulfovibrio sp. 3_1_syn3","457398","Proteobacteria","HMP_2018"
"Bifidobacterium angulatum DSM 20098 = JCM 7096","518635","Actinobacteria","HMP_2018"
"Escherichia sp. 4_1_40B","457401","Proteobacteria","HMP_2018"
"Anaerofustis stercorihominis DSM 17244","445971","Firmicutes","HMP_2018"
"Bacteroides sp. 3_1_19","469592","Bacteroidetes","HMP_2018"
"Helicobacter pylori HP250BFiV","1159074","Proteobacteria","HMP_2018"
"Fusobacterium nucleatum subsp. animalis 3_1_33","469603","Fusobacteria","HMP_2018"
"Parvimonas micra ATCC 33270","411465","Firmicutes","HMP_2018"
"Erysipelatoclostridium ramosum DSM 1402","445974","Firmicutes","HMP_2018"
"Prevotella oralis HGA0225","1203550","Bacteroidetes","HMP_2018"
"Paenisporosarcina sp. HGH0030","1078085","Firmicutes","HMP_2018"
"Oxalobacter formigenes HOxBLS","556268","Proteobacteria","HMP_2018"
"Subdoligranulum variabile DSM 15176","411471","Firmicutes","HMP_2018"
"Klebsiella pneumoniae subsp. pneumoniae WGLW5","1203547","Proteobacteria","HMP_2018"
"Anaerotruncus colihominis DSM 17241","445972","Firmicutes","HMP_2018"
"Bacteroides dorei DSM 17855","483217","Bacteroidetes","HMP_2018"
"Bifidobacterium longum subsp. infantis 157F","565040","Actinobacteria","HMP_2018"
"Dorea longicatena DSM 13814","411462","Firmicutes","HMP_2018"
"Helicobacter pylori HP260AFi","1159076","Proteobacteria","HMP_2018"
"Helicobacter pylori GAM231Ai","1159033","Proteobacteria","HMP_2018"
"Bifidobacterium gallicum DSM 20093 = LMG 11596","561180","Actinobacteria","HMP_2018"
"Lachnospiraceae bacterium 9_1_43BFAA","658088","Firmicutes","HMP_2018"
"Fusobacterium nucleatum subsp. animalis 21_1A","469601","Fusobacteria","HMP_2018"
"Helicobacter pylori GAM96Ai","1159058","Proteobacteria","HMP_2018"
"Parabacteroides sp. 20_3","469591","Bacteroidetes","HMP_2018"
"Bacteroides sp. 2_2_4","469590","Bacteroidetes","HMP_2018"
"Parasutterella excrementihominis YIT 11859","762966","Proteobacteria","HMP_2018"
"Helicobacter pylori GAM270ASi","1159051","Proteobacteria","HMP_2018"
"Fusobacterium necrophorum subsp. funduliforme 1_1_36S","742814","Fusobacteria","HMP_2018"
"Ruminococcus sp. SR1/5","657323","Firmicutes","HMP_2018"
"Helicobacter pylori GAM83Bi","1159055","Proteobacteria","HMP_2018"
"Butyrivibrio fibrisolvens 16/4","657324","Firmicutes","HMP_2018"
"Paenibacillus sp. HGF7","944559","Firmicutes","HMP_2018"
"Eubacterium siraeum DSM 15702","428128","Firmicutes","HMP_2018"
"Campylobacter upsaliensis JV21","888826","Proteobacteria","HMP_2018"
"Helicobacter pylori GAMchJs136i","1159064","Proteobacteria","HMP_2018"
"Lachnospiraceae bacterium 8_1_57FAA","665951","Firmicutes","HMP_2018"
"Escherichia coli SE11","409438","Proteobacteria","HMP_2018"
"Escherichia coli SE15","431946","Proteobacteria","HMP_2018"
"Bifidobacterium longum subsp. longum F8","722911","Actinobacteria","HMP_2018"
"Coprococcus comes ATCC 27758","470146","Firmicutes","HMP_2018"
"Escherichia coli MS 185-1","749546","Proteobacteria","HMP_2018"
"Helicobacter pylori 83","585538","Proteobacteria","HMP_2018"
"Helicobacter pylori GAM239Bi","1159034","Proteobacteria","HMP_2018"
"Fusobacterium ulcerans ATCC 49185","469617","Fusobacteria","HMP_2018"
"Finegoldia magna ATCC 29328","334413","Firmicutes","HMP_2018"
"Blautia hydrogenotrophica DSM 10507","476272","Firmicutes","HMP_2018"
"Catenibacterium mitsuokai DSM 15897","451640","Firmicutes","HMP_2018"
"Streptococcus infantarius subsp. infantarius ATCC BAA-102","471872","Firmicutes","HMP_2018"
"Eubacterium rectale DSM 17629","657318","Firmicutes","HMP_2018"
"Anaerococcus hydrogenalis DSM 7454","561177","Firmicutes","HMP_2018"
"Acidaminococcus sp. HPA0509","1203555","Firmicutes","HMP_2018"
