source	target	type	database
L-Tryptophan	rn:R00678	k_compound:irreversible	kegg
rn:R00678	L-Formylkynurenine	k_compound:irreversible	kegg
Indolepyruvate	rn:R01974	k_compound:irreversible	kegg
rn:R01974	Indole-3-acetaldehyde	k_compound:irreversible	kegg
5-Hydroxy-L-tryptophan	rn:R02700	k_compound:irreversible	kegg
rn:R02700	5-Hydroxyindolepyruvate	k_compound:irreversible	kegg
L-Tryptophan	rn:R00677	k_compound:irreversible	kegg
rn:R00677	Indolepyruvate	k_compound:irreversible	kegg
Melatonin	rn:R03628	k_compound:irreversible	kegg
rn:R03628	Formyl-N-acetyl-5-methoxykynurenamine	k_compound:irreversible	kegg
Melatonin	rn:R03629	k_compound:irreversible	kegg
rn:R03629	6-Hydroxymelatonin	k_compound:irreversible	kegg
N-Acetylserotonin	rn:R03130	k_compound:irreversible	kegg
rn:R03130	Melatonin	k_compound:irreversible	kegg
Serotonin	rn:R02912	k_compound:irreversible	kegg
rn:R02912	5-Methoxytryptamine	k_compound:irreversible	kegg
Serotonin	rn:R02911	k_compound:irreversible	kegg
rn:R02911	N-Acetylserotonin	k_compound:irreversible	kegg
Serotonin	rn:R02909	k_compound:irreversible	kegg
rn:R02909	Formyl-5-hydroxykynurenamine	k_compound:irreversible	kegg
5-Hydroxyindoleacetate	rn:R04905	k_compound:irreversible	kegg
rn:R04905	5-Methoxyindoleacetate	k_compound:irreversible	kegg
5-Hydroxykynurenamine	rn:R04908	k_compound:irreversible	kegg
rn:R04908	4,6-Dihydroxyquinoline	k_compound:irreversible	kegg
5-Hydroxykynurenine	rn:R04909	k_compound:irreversible	kegg
rn:R04909	5-Hydroxykynurenamine	k_compound:irreversible	kegg
5-Hydroxykynurenine	rn:R04913	k_compound:irreversible	kegg
rn:R04913	4-(2-Amino-5-hydroxyphenyl)-2,4-dioxobutanoate	k_compound:irreversible	kegg
5-Hydroxy-L-tryptophan	rn:R02701	k_compound:irreversible	kegg
rn:R02701	Serotonin	k_compound:irreversible	kegg
5-Hydroxy-L-tryptophan	rn:R02702	k_compound:irreversible	kegg
rn:R02702	5-Hydroxy-N-formylkynurenine	k_compound:irreversible	kegg
L-Tryptophan	rn:R00684	k_compound:irreversible	kegg
rn:R00684	Indolepyruvate	k_compound:irreversible	kegg
Indole	rn:R02338	k_compound:irreversible	kegg
rn:R02338	2-Formylaminobenzaldehyde	k_compound:irreversible	kegg
N-Acetylindoxyl	rn:R03873	k_compound:irreversible	kegg
rn:R03873	N-Acetylisatin	k_compound:irreversible	kegg
Indole	rn:R02339	k_compound:irreversible	kegg
rn:R02339	Indoxyl	k_compound:irreversible	kegg
L-Formylkynurenine	rn:R01959	k_compound:irreversible	kegg
rn:R01959	L-Kynurenine	k_compound:irreversible	kegg
2,3-Dihydroxyindole	rn:R00983	k_compound:irreversible	kegg
rn:R00983	Anthranilate	k_compound:irreversible	kegg
Anthranilate	rn:R01816	k_compound:irreversible	kegg
rn:R01816	3-Hydroxyanthranilate	k_compound:irreversible	kegg
Acetoacetyl-CoA	rn:R00238	k_compound:irreversible	kegg
rn:R00238	Acetyl-CoA	k_compound:irreversible	kegg
(S)-3-Hydroxybutanoyl-CoA	rn:R01975	k_compound:irreversible	kegg
rn:R01975	Acetoacetyl-CoA	k_compound:irreversible	kegg
Crotonoyl-CoA	rn:R03026	k_compound:irreversible	kegg
rn:R03026	(S)-3-Hydroxybutanoyl-CoA	k_compound:irreversible	kegg
Glutaryl-CoA	rn:R02488	k_compound:irreversible	kegg
rn:R02488	Crotonoyl-CoA	k_compound:irreversible	kegg
2-Oxoadipate	rn:R01933	k_compound:irreversible	kegg
rn:R01933	Glutaryl-CoA	k_compound:irreversible	kegg
2-Aminomuconate-semialdehyde	rn:R03889	k_compound:irreversible	kegg
rn:R03889	2-Aminomuconate	k_compound:irreversible	kegg
2-Amino-3-carboxymuconate-semialdehyde	rn:R04323	k_compound:irreversible	kegg
rn:R04323	2-Aminomuconate-semialdehyde	k_compound:irreversible	kegg
3-Hydroxyanthranilate	rn:R02665	k_compound:irreversible	kegg
rn:R02665	2-Amino-3-carboxymuconate-semialdehyde	k_compound:irreversible	kegg
L-Formylkynurenine	rn:R03936	k_compound:irreversible	kegg
rn:R03936	Formylanthranilate	k_compound:irreversible	kegg
L-Kynurenine	rn:R01960	k_compound:irreversible	kegg
rn:R01960	3-Hydroxy-L-kynurenine	k_compound:irreversible	kegg
L-Kynurenine	rn:R00987	k_compound:irreversible	kegg
rn:R00987	Anthranilate	k_compound:irreversible	kegg
Formylanthranilate	rn:R00988	k_compound:irreversible	kegg
rn:R00988	Anthranilate	k_compound:irreversible	kegg
3-Hydroxy-L-kynurenine	rn:R02668	k_compound:irreversible	kegg
rn:R02668	3-Hydroxyanthranilate	k_compound:irreversible	kegg
L-Tryptophan	rn:R00673	k_compound:irreversible	kegg
rn:R00673	Indole	k_compound:irreversible	kegg
L-Tryptophan	rn:R01814	k_compound:irreversible	kegg
rn:R01814	5-Hydroxy-L-tryptophan	k_compound:irreversible	kegg
L-Tryptophan	rn:R00681	k_compound:irreversible	kegg
rn:R00681	(Indol-3-yl)glycolaldehyde	k_compound:irreversible	kegg
3-Hydroxyanthranilate	rn:R02670	k_compound:irreversible	kegg
rn:R02670	Cinnavalininate	k_compound:irreversible	kegg
3-Hydroxy-L-kynurenine	rn:R04171	k_compound:irreversible	kegg
rn:R04171	4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate	k_compound:irreversible	kegg
L-Kynurenine	rn:R01956	k_compound:irreversible	kegg
rn:R01956	4-(2-Aminophenyl)-2,4-dioxobutanoate	k_compound:irreversible	kegg
2-Aminophenol	rn:R00074	k_compound:irreversible	kegg
rn:R00074	2-Aminophenoxazin-3-one	k_compound:irreversible	kegg
3-Hydroxykynurenamine	rn:R04907	k_compound:irreversible	kegg
rn:R04907	4,8-Dihydroxyquinoline	k_compound:irreversible	kegg
2-Aminomuconate	rn:R01937	k_compound:irreversible	kegg
rn:R01937	2-Oxoadipate	k_compound:irreversible	kegg
2-Aminomuconate	rn:R01938	k_compound:irreversible	kegg
rn:R01938	2-Oxoadipate	k_compound:irreversible	kegg
5-(3'-Carboxy-3'-oxopropenyl)-4,6-dihydroxypicolinate	rn:R04910	k_compound:irreversible	kegg
rn:R04910	5-(3'-Carboxy-3'-oxopropyl)-4,6-dihydroxypicolinate	k_compound:irreversible	kegg
7,8-Dihydroxykynurenate	rn:R03253	k_compound:irreversible	kegg
rn:R03253	5-(3'-Carboxy-3'-oxopropenyl)-4,6-dihydroxypicolinate	k_compound:irreversible	kegg
7,8-Dihydro-7,8-dihydroxykynurenate	rn:R03251	k_compound:irreversible	kegg
rn:R03251	7,8-Dihydroxykynurenate	k_compound:irreversible	kegg
4-Hydroxy-2-quinolinecarboxylic-acid	rn:R03439	k_compound:irreversible	kegg
rn:R03439	7,8-Dihydro-7,8-dihydroxykynurenate	k_compound:irreversible	kegg
4-Hydroxy-2-quinolinecarboxylic-acid	rn:R03440	k_compound:irreversible	kegg
rn:R03440	7,8-Dihydro-7,8-dihydroxykynurenate	k_compound:irreversible	kegg
L-Tryptophan	rn:R00679	k_compound:irreversible	kegg
rn:R00679	(Indol-3-yl)acetamide	k_compound:irreversible	kegg
L-Tryptophan	rn:R00685	k_compound:irreversible	kegg
rn:R00685	Tryptamine	k_compound:irreversible	kegg
Serotonin	rn:R02908	k_compound:irreversible	kegg
rn:R02908	5-Hydroxyindoleacetaldehyde	k_compound:irreversible	kegg
Indole-3-acetaldehyde	rn:R02681	k_compound:irreversible	kegg
rn:R02681	Indole-3-acetate	k_compound:irreversible	kegg
Indole-3-acetaldehyde	rn:R02678	k_compound:irreversible	kegg
rn:R02678	Indole-3-acetate	k_compound:irreversible	kegg
Indolepyruvate	rn:R01973	k_compound:irreversible	kegg
rn:R01973	3-Methylindolepyruvate	k_compound:irreversible	kegg
Indolepyruvate	rn:R01971	k_compound:irreversible	kegg
rn:R01971	Indolelactate	k_compound:irreversible	kegg
5-Hydroxy-N-formylkynurenine	rn:R04911	k_compound:irreversible	kegg
rn:R04911	5-Hydroxykynurenine	k_compound:irreversible	kegg
5-Hydroxyindoleacetaldehyde	rn:R04903	k_compound:irreversible	kegg
rn:R04903	5-Hydroxyindoleacetate	k_compound:irreversible	kegg
5-Hydroxyindoleacetaldehyde	rn:R04904	k_compound:irreversible	kegg
rn:R04904	5-Hydroxyindoleacetate	k_compound:irreversible	kegg
