node	type
L-Tryptophan	compound
rn:R00678	reaction
Indolepyruvate	compound
rn:R01974	reaction
5-Hydroxy-L-tryptophan	compound
rn:R02700	reaction
rn:R00677	reaction
Melatonin	compound
rn:R03628	reaction
rn:R03629	reaction
N-Acetylserotonin	compound
rn:R03130	reaction
Serotonin	compound
rn:R02912	reaction
rn:R02911	reaction
rn:R02909	reaction
5-Hydroxyindoleacetate	compound
rn:R04905	reaction
5-Hydroxykynurenamine	compound
rn:R04908	reaction
5-Hydroxykynurenine	compound
rn:R04909	reaction
rn:R04913	reaction
rn:R02701	reaction
rn:R02702	reaction
rn:R00684	reaction
Indole	compound
rn:R02338	reaction
N-Acetylindoxyl	compound
rn:R03873	reaction
rn:R02339	reaction
L-Formylkynurenine	compound
rn:R01959	reaction
2,3-Dihydroxyindole	compound
rn:R00983	reaction
Anthranilate	compound
rn:R01816	reaction
Acetoacetyl-CoA	compound
rn:R00238	reaction
(S)-3-Hydroxybutanoyl-CoA	compound
rn:R01975	reaction
Crotonoyl-CoA	compound
rn:R03026	reaction
Glutaryl-CoA	compound
rn:R02488	reaction
2-Oxoadipate	compound
rn:R01933	reaction
2-Aminomuconate-semialdehyde	compound
rn:R03889	reaction
2-Amino-3-carboxymuconate-semialdehyde	compound
rn:R04323	reaction
3-Hydroxyanthranilate	compound
rn:R02665	reaction
rn:R03936	reaction
L-Kynurenine	compound
rn:R01960	reaction
rn:R00987	reaction
Formylanthranilate	compound
rn:R00988	reaction
3-Hydroxy-L-kynurenine	compound
rn:R02668	reaction
rn:R00673	reaction
rn:R01814	reaction
rn:R00681	reaction
rn:R02670	reaction
rn:R04171	reaction
rn:R01956	reaction
2-Aminophenol	compound
rn:R00074	reaction
3-Hydroxykynurenamine	compound
rn:R04907	reaction
2-Aminomuconate	compound
rn:R01937	reaction
rn:R01938	reaction
5-(3'-Carboxy-3'-oxopropenyl)-4,6-dihydroxypicolinate	compound
rn:R04910	reaction
7,8-Dihydroxykynurenate	compound
rn:R03253	reaction
7,8-Dihydro-7,8-dihydroxykynurenate	compound
rn:R03251	reaction
4-Hydroxy-2-quinolinecarboxylic-acid	compound
rn:R03439	reaction
rn:R03440	reaction
rn:R00679	reaction
rn:R00685	reaction
rn:R02908	reaction
Indole-3-acetaldehyde	compound
rn:R02681	reaction
rn:R02678	reaction
rn:R01973	reaction
rn:R01971	reaction
5-Hydroxy-N-formylkynurenine	compound
rn:R04911	reaction
5-Hydroxyindoleacetaldehyde	compound
rn:R04903	reaction
rn:R04904	reaction
5-(2'-Formylethyl)-4,6-dihydroxypicolinate	compound
rn:R04916	reaction
rn:R04917	reaction
rn:R04906	reaction
rn:R04172	reaction
rn:R02671	reaction
Xanthurenic-acid	compound
rn:R03955	reaction
Tryptamine	compound
rn:R02173	reaction
3-Indoleacetonitrile	compound
rn:R04020	reaction
(Indol-3-yl)acetamide	compound
rn:R03096	reaction
rn:R03093	reaction
Glucobrassicin	compound
rn:R04094	reaction
rn:R02679	reaction
rn:R02680	reaction
rn:R02910	reaction
rn:R02174	reaction
rn:R03887	reaction
Indole-3-acetate	compound
rn:R03092	reaction
2-Formaminobenzoylacetate	compound
rn:R00991	reaction
rn:R04293	reaction
rn:R08604	reaction
Indole-3-acetaldehyde-oxime	compound
rn:R08168	reaction
S-(Indolylmethylthiohydroximoyl)-L-cysteine	compound
rn:R08170	reaction
rn:R04093	reaction
rn:R08160	reaction
Indolylmethyl-desulfoglucosinolate	compound
rn:R08167	reaction
Indolylmethylthiohydroximate	compound
rn:R08164	reaction
N-Hydroxyl-tryptamine	compound
rn:R08605	reaction
rn:R08606	reaction
rn:R08609	reaction
rn:R03097	reaction
rn:R10181	reaction
rn:R10180	reaction
rn:R09517	reaction
rn:R11022	reaction
rn:R12055	reaction
5-Hydroxyindolepyruvate	compound
Formyl-N-acetyl-5-methoxykynurenamine	compound
6-Hydroxymelatonin	compound
5-Methoxytryptamine	compound
Formyl-5-hydroxykynurenamine	compound
5-Methoxyindoleacetate	compound
4,6-Dihydroxyquinoline	compound
4-(2-Amino-5-hydroxyphenyl)-2,4-dioxobutanoate	compound
2-Formylaminobenzaldehyde	compound
N-Acetylisatin	compound
Indoxyl	compound
Acetyl-CoA	compound
(Indol-3-yl)glycolaldehyde	compound
Cinnavalininate	compound
4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate	compound
4-(2-Aminophenyl)-2,4-dioxobutanoate	compound
2-Aminophenoxazin-3-one	compound
4,8-Dihydroxyquinoline	compound
5-(3'-Carboxy-3'-oxopropyl)-4,6-dihydroxypicolinate	compound
3-Methylindolepyruvate	compound
Indolelactate	compound
5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate	compound
5-Hydroxyindoleacetylglycine	compound
3-Methoxyanthranilate	compound
8-Methoxykynurenate	compound
Indole-3-ethanol	compound
N-Methylserotonin	compound
N-Methyltryptamine	compound
gamma-Oxalocrotonate	compound
3-Methyldioxyindole	compound
Quinolinate	compound
Picolinic-acid	compound
