"Organism","Body Site","Project ID","CDS Count","Contig Count","Contig Locus Min","Contig Locus Max","Contig ASM","Contig CDS","Contig PEP","Contig GBK","Scaffold Count","Scaffold Locus Min","Scaffold Locus Max","Scaffold ASM","Scaffold CDS","Scaffold PEP","Scaffold GBK"
"Bacteroides xylanisolvens CL03T12C04","Unknown","64839","9518","41","AGXE01000001","AGXE01000041","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64839/64839.AGXE01000001-AGXE01000041.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64839/64839.AGXE01000001-AGXE01000041.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64839/64839.AGXE01000001-AGXE01000041.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64839/64839.AGXE01000001-AGXE01000041.nuc.gbk","13","JH724294","JH724306","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64839/64839.JH724294-JH724306.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64839/64839.JH724294-JH724306.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64839/64839.JH724294-JH724306.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64839/64839.JH724294-JH724306.nuc.gbk"
"Holdemania filiformis DSM 12042","Gastrointestinal_tract","30361","8446","289","ACCF01000001","ACCF01000289","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30361/30361.ACCF01000001-ACCF01000289.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30361/30361.ACCF01000001-ACCF01000289.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30361/30361.ACCF01000001-ACCF01000289.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30361/30361.ACCF01000001-ACCF01000289.nuc.gbk","35","GG657551","GG657585","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30361/30361.GG657551-GG657585.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30361/30361.GG657551-GG657585.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30361/30361.GG657551-GG657585.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30361/30361.GG657551-GG657585.nuc.gbk"
"Bifidobacterium dentium ATCC 27678","Gastrointestinal_tract","20555","2430","2","ABIX02000001","ABIX02000002","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20555/20555.ABIX02000001-ABIX02000002.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20555/20555.ABIX02000001-ABIX02000002.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20555/20555.ABIX02000001-ABIX02000002.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20555/20555.ABIX02000001-ABIX02000002.nuc.gbk","","","","","","",""
"Propionibacterium acnes HL005PA3","Skin","49229","5044","27","ADZM01000001","ADZM01000027","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49229/49229.ADZM01000001-ADZM01000027.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49229/49229.ADZM01000001-ADZM01000027.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49229/49229.ADZM01000001-ADZM01000027.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49229/49229.ADZM01000001-ADZM01000027.nuc.gbk","17","GL383461","GL383477","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49229/49229.GL383461-GL383477.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49229/49229.GL383461-GL383477.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49229/49229.GL383461-GL383477.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49229/49229.GL383461-GL383477.nuc.gbk"
"Lactobacillus crispatus MV-3A-US","Urogenital_tract","38513","2330","220","ACQC01000001","ACQC01000220","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38513/38513.ACQC01000001-ACQC01000220.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38513/38513.ACQC01000001-ACQC01000220.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38513/38513.ACQC01000001-ACQC01000220.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38513/38513.ACQC01000001-ACQC01000220.nuc.gbk","76","GG704606","GG704681","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38513/38513.GG704606-GG704681.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38513/38513.GG704606-GG704681.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38513/38513.GG704606-GG704681.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38513/38513.GG704606-GG704681.nuc.gbk"
"Clostridium celatum DSM 1785","Gastrointestinal_tract","30375","6906","137","AMEZ01000001","AMEZ01000137","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30375/30375.AMEZ01000001-AMEZ01000137.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30375/30375.AMEZ01000001-AMEZ01000137.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30375/30375.AMEZ01000001-AMEZ01000137.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30375/30375.AMEZ01000001-AMEZ01000137.nuc.gbk","122","KB291596","KB291717","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30375/30375.KB291596-KB291717.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30375/30375.KB291596-KB291717.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30375/30375.KB291596-KB291717.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30375/30375.KB291596-KB291717.nuc.gbk"
"Eubacterium biforme DSM 3989","Gastrointestinal_tract","29269","5058","161","ABYT01000001","ABYT01000161","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29269/29269.ABYT01000001-ABYT01000161.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29269/29269.ABYT01000001-ABYT01000161.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29269/29269.ABYT01000001-ABYT01000161.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29269/29269.ABYT01000001-ABYT01000161.nuc.gbk","44","DS996836","DS996879","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29269/29269.DS996836-DS996879.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29269/29269.DS996836-DS996879.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29269/29269.DS996836-DS996879.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29269/29269.DS996836-DS996879.nuc.gbk"
"Veillonella parvula ATCC 17745","Oral","41557","1929","19","ADFU01000001","ADFU01000019","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41557/41557.ADFU01000001-ADFU01000019.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41557/41557.ADFU01000001-ADFU01000019.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41557/41557.ADFU01000001-ADFU01000019.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41557/41557.ADFU01000001-ADFU01000019.nuc.gbk","","","","","","",""
"Bacteroides sp. D22","Gastrointestinal_tract","41953","4931","226","ADCK01000001","ADCK01000226","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41953/41953.ADCK01000001-ADCK01000226.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41953/41953.ADCK01000001-ADCK01000226.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41953/41953.ADCK01000001-ADCK01000226.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41953/41953.ADCK01000001-ADCK01000226.nuc.gbk","94","GG774795","GG774888","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41953/41953.GG774795-GG774888.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41953/41953.GG774795-GG774888.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41953/41953.GG774795-GG774888.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41953/41953.GG774795-GG774888.nuc.gbk"
"Lachnospiraceae bacterium 6_1_37FAA","Gastrointestinal_tract","41967","5900","38","ADCR01000001","ADCR01000038","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41967/41967.ADCR01000001-ADCR01000038.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41967/41967.ADCR01000001-ADCR01000038.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41967/41967.ADCR01000001-ADCR01000038.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41967/41967.ADCR01000001-ADCR01000038.nuc.gbk","15","GL872349","GL872363","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41967/41967.GL872349-GL872363.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41967/41967.GL872349-GL872363.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41967/41967.GL872349-GL872363.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41967/41967.GL872349-GL872363.nuc.gbk"
