"sseqid","qseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","staxid","ssciname","scomname","sblastname","sskingdom","gdescription"
"gi|238728143|gb|EEQ19664.1|","1",100,"660","0",0,1,660,1,660,0,1356,349965,"Yersinia intermedia ATCC 29909","Yersinia intermedia ATCC 29909","enterobacteria","Bacteria","Biofilm PGA synthesis lipoprotein PgaB [Yersinia intermedia ATCC 29909]"
"gi|696330981|ref|WP_032906290.1|","1",100,"660","0",0,1,660,15,674,0,1355,629,"Yersinia","Yersinia","enterobacteria","Bacteria","MULTISPECIES: poly-beta-1"
"gi|915758104|ref|WP_050881619.1|","1",99.848,"660","1",0,1,660,15,674,0,1354,631,"Yersinia intermedia","Yersinia intermedia","enterobacteria","Bacteria","poly-beta-1"
"gi|910778590|ref|WP_050084276.1|","1",99.697,"660","2",0,1,660,15,674,0,1354,629,"Yersinia","Yersinia","enterobacteria","Bacteria","MULTISPECIES: poly-beta-1"
"gi|910764947|ref|WP_050072675.1|","1",99.848,"660","1",0,1,660,15,674,0,1353,631,"Yersinia intermedia","Yersinia intermedia","enterobacteria","Bacteria","poly-beta-1"
"gi|1178648447|ref|WP_083159064.1|","1",98.182,"660","12",0,1,660,15,674,0,1337,630,"Yersinia enterocolitica","Yersinia enterocolitica","enterobacteria","Bacteria","poly-beta-1"
"gi|910768374|ref|WP_050075421.1|","1",97.273,"660","18",0,1,660,15,674,0,1329,631,"Yersinia intermedia","Yersinia intermedia","enterobacteria","Bacteria","poly-beta-1"
"gi|742413449|ref|WP_038892567.1|","1",96.97,"660","20",0,1,660,15,674,0,1328,630,"Yersinia enterocolitica","Yersinia enterocolitica","enterobacteria","Bacteria","poly-beta-1"
"gi|517912777|ref|WP_019082985.1|","1",96.818,"660","21",0,1,660,15,674,0,1326,630,"Yersinia enterocolitica","Yersinia enterocolitica","enterobacteria","Bacteria","poly-beta-1"
"gi|500140565|ref|WP_011816568.1|","1",96.97,"660","20",0,1,660,15,674,0,1326,630,"Yersinia enterocolitica","Yersinia enterocolitica","enterobacteria","Bacteria","poly-beta-1"
"gi|404514327|gb|EKA28123.1|","1",96.97,"660","20",0,1,660,1,660,0,1326,1194086,"Yersinia enterocolitica subsp. enterocolitica WA-314","Yersinia enterocolitica subsp. enterocolitica WA-314","enterobacteria","Bacteria","outer membrane N-deacetylase [Yersinia enterocolitica subsp. enterocolitica WA-314]"
"gi|1147168290|ref|WP_077175434.1|","1",96.97,"660","20",0,1,660,15,674,0,1326,630,"Yersinia enterocolitica","Yersinia enterocolitica","enterobacteria","Bacteria","poly-beta-1"
"gi|318605983|emb|CBY27481.1|","1",96.818,"660","21",0,1,660,1,660,0,1325,930944,"Yersinia enterocolitica subsp. palearctica Y11","Yersinia enterocolitica subsp. palearctica Y11","enterobacteria","Bacteria","biofilm PGA synthesis deacetylase PgaB [Yersinia enterocolitica subsp. palearctica Y11]"
"gi|491306393|ref|WP_005164391.1|","1",96.818,"660","21",0,1,660,15,674,0,1325,630,"Yersinia enterocolitica","Yersinia enterocolitica","enterobacteria","Bacteria","poly-beta-1"
"gi|896651433|ref|WP_049530464.1|","1",96.818,"660","21",0,1,660,15,674,0,1325,630,"Yersinia enterocolitica","Yersinia enterocolitica","enterobacteria","Bacteria","poly-beta-1"
"gi|915715725|ref|WP_050876489.1|","1",96.667,"660","22",0,1,660,15,674,0,1325,630,"Yersinia enterocolitica","Yersinia enterocolitica","enterobacteria","Bacteria","poly-beta-1"
