"","Organism.name","Year","Source","Taxon","Assembly"
"eco","Escherichia coli K-12 MG1655","1997","RefSeq","511145","GCF_000005845.2"
"ecj","Escherichia coli K-12 W3110","2001","GenBank","316407","GCA_000010245.1"
"ecd","Escherichia coli K-12 DH10B","2008","GenBank","316385","GCA_000019425.1"
"ebw","Escherichia coli BW2952","2009","GenBank","595496","GCA_000022345.1"
"ecok","Escherichia coli K-12 MDS42","2013","GenBank","1110693","GCA_000350185.1"
"ece","Escherichia coli O157:H7 EDL933 (EHEC)","2001","GenBank","155864","GCA_000006665.1"
"ecs","Escherichia coli O157:H7 Sakai (EHEC)","2001","RefSeq","386585","GCF_000008865.2"
"ecf","Escherichia coli O157:H7 EC4115 (EHEC)","2008","GenBank","444450","GCA_000021125.1"
"etw","Escherichia coli O157:H7 TW14359 (EHEC)","2009","GenBank","544404","GCA_000022225.1"
"elx","Escherichia coli O157:H7 Xuzhou21 (EHEC)","2012","GenBank","741093","GCA_000262125.1"
"eoj","Escherichia coli O26:H11 11368 (EHEC)","2009","GenBank","573235","GCA_000091005.1"
"eoi","Escherichia coli O111:H- 11128 (EHEC)","2009","GenBank","585396","GCA_000010765.1"
"eoh","Escherichia coli O103:H2 12009 (EHEC)","2009","GenBank","585395","GCA_000010745.1"
"ecg","Escherichia coli O127:H6 E2348/69 (EPEC)","2008","GenBank","574521","GCA_000026545.1"
"eok","Escherichia coli O55:H7 CB9615 (EPEC)","2010","GenBank","701177","GCA_000025165.1"
"elr","Escherichia coli O55:H7 RM12579 (EPEC)","2012","GenBank","1048689","GCA_000245515.1"
"ecc","Escherichia coli O6:K2:H1 CFT073 (UPEC)","2002","GenBank","199310","GCA_000007445.1"
"ecp","Escherichia coli O6:K15:H31 536 (UPEC)","2006","GenBank","362663","GCA_000013305.1"
"eci","Escherichia coli O18:K1:H7 UTI89 (UPEC)","2006","GenBank","364106","GCA_000013265.1"
"ecv","Escherichia coli APEC O1 (APEC)","2006","GenBank","405955","GCA_000014845.1"
"ecx","Escherichia coli O9 HS (commensal)","2007","GenBank","331112","GCA_000017765.1"
"ecw","Escherichia coli O139:H28 E24377A (ETEC)","2007","GenBank","331111","GCA_000017745.1"
"ecm","Escherichia coli SMS-3-5 (environmental)","2008","GenBank","439855","GCA_000019645.1"
"ecy","Escherichia coli O152:H28 SE11 (commensal)","2008","GenBank","409438","GCA_000010385.1"
"ecr","Escherichia coli O8 IAI1 (commensal)","2009","GenBank","585034","GCA_000026265.1"
"ecq","Escherichia coli O81 ED1a (commensal)","2009","GenBank","585397","GCA_000026305.1"
"eck","Escherichia coli 55989 (EAEC)","2009","GenBank","585055","GCA_000026245.1"
"ect","Escherichia coli O7:K1 IAI39 (ExPEC)","2009","RefSeq","585057","GCF_000026345.1"
"eoc","Escherichia coli O7:K1 CE10","2012","GenBank","1072459","GCA_000227625.1"
"eum","Escherichia coli O17:K52:H18 UMN026 (ExPEC)","2009","RefSeq","585056","GCF_000026325.1"
"ecz","Escherichia coli O45:K1:H7 S88 (ExPEC)","2009","GenBank","585035","GCA_000026285.2"
"elo","Escherichia coli O44:H18 042 (EAEC)","2012","GenBank","216592","GCA_000027125.1"
"eln","Escherichia coli O83:H1 NRG 857C","2012","RefSeq","685038","GCF_000183345.1"
"elh","Escherichia coli O78:H11:K80 H10407 (ETEC)","2012","GenBank","316401","GCA_000210475.1"
