"sseqid","qseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","staxid","ssciname","scomname","sblastname","sskingdom","gdescription"
"gi|501535684|ref|WP_012541728.1|","1",100,217,0,0,1,217,1,217,3.43e-159,447,543,"Enterobacteriaceae","Enterobacteriaceae","enterobacteria","Bacteria","MULTISPECIES: nitrile hydratase subunit beta [Enterobacteriaceae]"
"gi|1296385504|ref|WP_100696266.1|","1",99.539,217,1,0,1,217,1,217,1.15e-158,446,570,"Klebsiella","Klebsiella","enterobacteria","Bacteria","MULTISPECIES: nitrile hydratase subunit beta [Klebsiella]"
"gi|1468051541|ref|WP_117106505.1|","1",99.539,217,1,0,1,217,1,217,1.24e-158,446,244366,"Klebsiella variicola","Klebsiella variicola","enterobacteria","Bacteria","nitrile hydratase subunit beta [Klebsiella variicola]"
"gi|1468058489|ref|WP_117110484.1|","1",99.539,217,1,0,1,217,1,217,1.32e-158,446,244366,"Klebsiella variicola","Klebsiella variicola","enterobacteria","Bacteria","nitrile hydratase subunit beta [Klebsiella variicola]"
"gi|1115553571|ref|WP_072124786.1|","1",99.539,217,1,0,1,217,1,217,1.56e-158,446,244366,"Klebsiella variicola","Klebsiella variicola","enterobacteria","Bacteria","nitrile hydratase subunit beta [Klebsiella variicola]"
"gi|1398150704|ref|WP_110196823.1|","1",99.539,217,1,0,1,217,1,217,1.58e-158,446,244366,"Klebsiella variicola","Klebsiella variicola","enterobacteria","Bacteria","nitrile hydratase subunit beta [Klebsiella variicola]"
"gi|1114023108|ref|WP_072045539.1|","1",99.539,217,1,0,1,217,1,217,1.86e-158,446,244366,"Klebsiella variicola","Klebsiella variicola","enterobacteria","Bacteria","nitrile hydratase subunit beta [Klebsiella variicola]"
"gi|496080384|ref|WP_008804891.1|","1",99.539,217,1,0,1,217,1,217,1.86e-158,446,244366,"Klebsiella variicola","Klebsiella variicola","enterobacteria","Bacteria","nitrile hydratase subunit beta [Klebsiella variicola]"
"gi|1398174552|ref|WP_110217856.1|","1",99.539,217,1,0,1,217,1,217,1.88e-158,446,244366,"Klebsiella variicola","Klebsiella variicola","enterobacteria","Bacteria","nitrile hydratase subunit beta [Klebsiella variicola]"
"gi|1398177415|ref|WP_110220010.1|","1",99.539,217,1,0,1,217,1,217,2.17e-158,446,244366,"Klebsiella variicola","Klebsiella variicola","enterobacteria","Bacteria","nitrile hydratase subunit beta [Klebsiella variicola]"
"gi|985815510|ref|WP_060875803.1|","1",99.539,217,1,0,1,217,1,217,2.91e-158,445,573,"Klebsiella pneumoniae","Klebsiella pneumoniae","enterobacteria","Bacteria","nitrile hydratase subunit beta [Klebsiella pneumoniae]"
"gi|695816522|ref|WP_032730361.1|","1",99.539,217,1,0,1,217,1,217,2.98e-158,445,570,"Klebsiella","Klebsiella","enterobacteria","Bacteria","MULTISPECIES: nitrile hydratase subunit beta [Klebsiella]"
"gi|765324359|ref|WP_044649963.1|","1",99.539,217,1,0,1,217,1,217,2.98e-158,445,244366,"Klebsiella variicola","Klebsiella variicola","enterobacteria","Bacteria","nitrile hydratase subunit beta [Klebsiella variicola]"
"gi|1468100844|ref|WP_117138737.1|","1",99.539,217,1,0,1,217,1,217,3.01e-158,445,244366,"Klebsiella variicola","Klebsiella variicola","enterobacteria","Bacteria","nitrile hydratase subunit beta [Klebsiella variicola]"
"gi|1181029539|ref|WP_084441132.1|","1",99.539,217,1,0,1,217,1,217,4e-158,445,570,"Klebsiella","Klebsiella","enterobacteria","Bacteria","MULTISPECIES: nitrile hydratase subunit beta [Klebsiella]"
"gi|896134886|ref|WP_049155206.1|","1",99.539,217,1,0,1,217,1,217,4.47e-158,445,244366,"Klebsiella variicola","Klebsiella variicola","enterobacteria","Bacteria","nitrile hydratase subunit beta [Klebsiella variicola]"
"gi|1016530272|ref|WP_063105592.1|","1",99.539,217,1,0,1,217,1,217,6.14e-158,444,570,"Klebsiella","Klebsiella","enterobacteria","Bacteria","MULTISPECIES: nitrile hydratase subunit beta [Klebsiella]"
"gi|1293416633|ref|WP_100675592.1|","1",98.618,217,3,0,1,217,1,217,9.85e-158,444,570,"Klebsiella","Klebsiella","enterobacteria","Bacteria","MULTISPECIES: nitrile hydratase subunit beta [Klebsiella]"
"gi|1293227791|ref|WP_100630420.1|","1",98.157,217,4,0,1,217,1,217,5.58e-157,442,570,"Klebsiella","Klebsiella","enterobacteria","Bacteria","MULTISPECIES: nitrile hydratase subunit beta [Klebsiella]"
"gi|1000903570|ref|WP_061154604.1|","1",98.157,217,4,0,1,217,1,217,8.02e-156,439,573,"Klebsiella pneumoniae","Klebsiella pneumoniae","enterobacteria","Bacteria","nitrile hydratase subunit beta [Klebsiella pneumoniae]"
"gi|1031828009|ref|WP_064154617.1|","1",96.313,217,8,0,1,217,1,217,2.11e-153,433,570,"Klebsiella","Klebsiella","enterobacteria","Bacteria","MULTISPECIES: nitrile hydratase subunit beta [Klebsiella]"
"gi|1327497168|ref|WP_101991717.1|","1",95.853,217,9,0,1,217,1,217,1e-152,431,1463165,"Klebsiella quasipneumoniae","Klebsiella quasipneumoniae","enterobacteria","Bacteria","nitrile hydratase subunit beta [Klebsiella quasipneumoniae]"
"gi|1048240650|ref|WP_065812538.1|","1",95.853,217,9,0,1,217,1,217,2.24e-152,430,573,"Klebsiella pneumoniae","Klebsiella pneumoniae","enterobacteria","Bacteria","nitrile hydratase subunit beta [Klebsiella pneumoniae]"
"gi|1293477398|ref|WP_100685698.1|","1",94.47,217,12,0,1,217,1,217,9.32e-151,426,2054594,"Raoultella sp. T31","Raoultella sp. T31","enterobacteria","Bacteria","nitrile hydratase subunit beta [Raoultella sp. T31]"
"gi|746260818|ref|WP_039309048.1|","1",84.793,217,33,0,1,217,1,217,1.28e-137,393,55207,"Pectobacterium betavasculorum","Pectobacterium betavasculorum","enterobacteria","Bacteria","nitrile hydratase subunit beta [Pectobacterium betavasculorum]"
"gi|640683895|ref|WP_025108349.1|","1",84.793,217,33,0,1,217,1,217,1.81e-136,390,91347,"Enterobacterales","Enterobacterales","enterobacteria","Bacteria","MULTISPECIES: nitrile hydratase subunit beta [Enterobacterales]"
"gi|497338003|ref|WP_009652216.1|","1",84.793,217,33,0,1,217,1,217,2.4e-136,390,570,"Klebsiella","Klebsiella","enterobacteria","Bacteria","MULTISPECIES: nitrile hydratase subunit beta [Klebsiella]"
"gi|896021628|ref|WP_049083580.1|","1",84.332,217,34,0,1,217,1,217,3.02e-136,390,1134687,"Klebsiella michiganensis","Klebsiella michiganensis","enterobacteria","Bacteria","nitrile hydratase subunit beta [Klebsiella michiganensis]"
"gi|1319932906|gb|PLM00048.1|","1",84.332,217,34,0,1,217,1,217,3.77e-136,389,1134687,"Klebsiella michiganensis","Klebsiella michiganensis","enterobacteria","Bacteria","nitrile hydratase subunit beta [Klebsiella michiganensis]"
"gi|1440523264|emb|STV60472.1|","1",84.332,217,34,0,1,217,1,217,4.2e-136,389,571,"Klebsiella oxytoca","Klebsiella oxytoca","enterobacteria","Bacteria","nitrile hydratase [Klebsiella oxytoca]"
"gi|751930827|ref|WP_041145535.1|","1",84.332,217,34,0,1,217,1,217,6.24e-136,389,160674,"Raoultella","Raoultella","enterobacteria","Bacteria","MULTISPECIES: nitrile hydratase subunit beta [Raoultella]"
"gi|695804993|ref|WP_032719090.1|","1",84.332,217,34,0,1,217,1,217,7.19e-136,389,1236,"Gammaproteobacteria","Gammaproteobacteria","g-proteobacteria","Bacteria","MULTISPECIES: nitrile hydratase subunit beta [Gammaproteobacteria]"
"gi|1033067384|ref|WP_064378003.1|","1",83.871,217,35,0,1,217,1,217,7.27e-136,389,570,"Klebsiella","Klebsiella","enterobacteria","Bacteria","MULTISPECIES: nitrile hydratase subunit beta [Klebsiella]"
